,word,frequency
787,inconsistent,13.0
788,aggressive,178.0
789,imagined,76.0
790,recollect,66.0
791,ever_since,1152.0
792,peur,19.0
793,zaytoven,52.0
794,complexion,128.0
795,cappin,322.0
796,steered,11.0
797,oucha,14.0
798,guarded,50.0
799,suitcases,20.0
800,macgyver,27.0
801,simplistic,31.0
802,monde,32.0
803,etcetera,48.0
804,theyself,86.0
805,awaiting,41.0
806,e_s,209.0
807,pimp,3151.0
808,gelsin,11.0
809,e_y,34.0
810,tiki,12.0
811,tryn,49.0
812,whipped,312.0
813,hotness,31.0
814,e_n,163.0
815,vision,2273.0
816,notice,1017.0
817,litaliano_balla,24.0
818,carhartt,17.0
819,bum_bum,181.0
820,intoxicating,13.0
821,planet,1206.0
822,dexter,87.0
823,infa,14.0
824,alarming,20.0
825,moons,89.0
826,two_faced,53.0
827,hotter_than,670.0
828,punta,31.0
829,grandpas,16.0
830,fell_asleep,180.0
831,punto,39.0
832,ojays,28.0
833,menacing,24.0
834,squeal,155.0
835,ge_ge,31.0
836,concentrated,31.0
837,circumference,36.0
838,millionaire,453.0
839,flipped,529.0
840,hearses,56.0
841,s,2737.0
842,workplace,15.0
843,flipper,97.0
844,allowance,34.0
845,kaputt,13.0
846,droga,29.0
847,inutile,21.0
848,drug_dealin,78.0
849,west,1861.0
850,deuteronomy,14.0
851,wess,20.0
852,collided,12.0
853,wesh,39.0
854,motives,104.0
855,formed,107.0
856,wanta,11.0
857,bmm_bmm,18.0
858,hashtag,83.0
859,vomito,15.0
860,former,85.0
861,runnin,9418.0
862,straighten,121.0
863,straighter,21.0
864,sfiga,31.0
865,squeezed,67.0
866,situation,1252.0
867,voicemail,113.0
868,penthouse,253.0
869,engaged,68.0
870,nying,3.0
871,limping,48.0
872,hermaphrodite,14.0
873,technology,102.0
874,mpc,26.0
875,ingrained,23.0
876,virgin_mary,34.0
877,kombat,1.0
878,otto,26.0
879,yessir,468.0
880,maskulin,27.0
881,visually,20.0
882,edged,8.0
883,hideaway,25.0
884,sickness,327.0
885,defy,77.0
886,deflate,35.0
887,edges,38.0
888,wired,162.0
889,jug_jug,27.0
890,teepee,16.0
