,word,frequency
3230,tremendo,23.0
3231,belushi,21.0
3232,safety,351.0
3233,7,1091.0
3234,fan_base,99.0
3235,shrivel,16.0
3236,mittens,42.0
3237,aviators,16.0
3238,doppler,13.0
3239,campin,17.0
3240,housed,12.0
3241,favored,17.0
3242,swag_swag,98.0
3243,johnnie,27.0
3244,margiela,180.0
3245,brightest,66.0
3246,straightened,12.0
3247,muthaphukkin,25.0
3248,speculation,30.0
3249,good_evening,82.0
3250,frostbit,26.0
3251,puerto_rico,103.0
3252,benji,103.0
3253,american,777.0
3254,caddies,36.0
3255,apocalypse,133.0
3256,remindin,20.0
3257,craps,110.0
3258,effortless,69.0
3259,horse,726.0
3260,blossom,60.0
3261,station,524.0
3262,gibraltar,20.0
3263,chamill,16.0
3264,hundred,4236.0
3265,pro_tools,111.0
3266,merciless,60.0
3267,big_munny,35.0
3268,raws,15.0
3269,raww,6.0
3270,trapped,977.0
3271,mhmm,28.0
3272,tivo,36.0
3273,trapper,208.0
3274,boredom,39.0
3275,tive,12.0
3276,samme,13.0
3277,grew,521.0
3278,uptowns,23.0
3279,an_eighth,93.0
3280,grey,563.0
3281,hesitating,37.0
3282,greg,100.0
3283,toward,439.0
3284,builder,36.0
3285,mc_shan,42.0
3286,forty_acres,30.0
3287,assata,23.0
3288,wasnt,5661.0
3289,aussi,19.0
3290,randomly,30.0
3291,blrrr,24.0
3292,blissful,14.0
3293,antonio,28.0
3294,cavi,40.0
3295,cherokee,58.0
3296,cave,246.0
3297,sneakin,141.0
3298,cavs,14.0
3299,aired,33.0
3300,caliber,137.0
3301,vesto,11.0
3302,blinkin,29.0
3303,badder_than,73.0
3304,hired,118.0
3305,channeling,20.0
3306,spartans,13.0
3307,wreckage,18.0
3308,sturdy,32.0
3309,wontcha,28.0
3310,rockefeller,21.0
3311,qbc,20.0
3312,bza,17.0
3313,velocity,37.0
3314,physics,103.0
3315,jeopardy,40.0
3316,two_sides,58.0
3317,stalked,19.0
3318,phenomenon,115.0
3319,hovered,13.0
3320,v12,149.0
3321,sewin,13.0
3322,jviens,11.0
3323,stalker,58.0
3324,ringers,24.0
3325,bumbaclot,33.0
3326,justice,407.0
3327,mac_10,189.0
3328,kalem,12.0
3329,quem,103.0
3330,quel,39.0
3331,quer,65.0
3332,cutt,11.0
3333,ymf,18.0
3334,private_dancer,51.0
3335,porcupine,26.0
3336,grannys,37.0
3337,strut,131.0
3338,strum,13.0
3339,competing,49.0
3340,boils,43.0
3341,imitating,48.0
3342,musst,12.0
3343,adlib,14.0
3344,fluff,32.0
3345,erbody,62.0
3346,eppure,22.0
3347,retaliation,98.0
3348,hype,1020.0
3349,dur,33.0
3350,strikin,59.0
3351,tauras,11.0
3352,locali,14.0
3353,locale,20.0
3354,dtf,14.0
3355,ctait,13.0
3356,mantra,37.0
3357,close,5004.0
3358,gouda,44.0
3359,wedding_ring,105.0
3360,locals,49.0
3361,bride,105.0
3362,tolls,32.0
3363,honour,67.0
3364,dein,108.0
3365,pictured,56.0
3366,buckwild,72.0
3367,leg_arm,32.0
3368,le_mie,32.0
3369,zipped,58.0
3370,mussi,17.0
3371,spray,1677.0
3372,ranked,32.0
3373,kindle,15.0
3374,jeder,58.0
3375,fluently,19.0
3376,zipper,157.0
3377,abruptly,14.0
3378,league,567.0
3379,dtp,43.0
3380,memorized,24.0
3381,ay_dolla,39.0
3382,minorities,31.0
3383,forgotten,233.0
3384,vault,158.0
3385,experimental,14.0
3386,big_screen,90.0
3387,expendable,11.0
3388,moonwalkin,27.0
3389,vandross,26.0
3390,gleich,11.0
3391,brown_skin,90.0
3392,fabolous,54.0
3393,enuff,28.0
3394,{no,18.0
3395,threaten,83.0
3396,mistakin,66.0
3397,empty,1421.0
3398,lived,783.0
3399,liven,12.0
3400,lives,1067.0
3401,liver,348.0
3402,ado,22.0
3403,pact,31.0
3404,intriguing,15.0
3405,pacs,42.0
3406,cant_explain,255.0
3407,chiedi,18.0
3408,pace,527.0
3409,kara,29.0
3410,ought,223.0
3411,ossie,12.0
3412,guido,19.0
3413,richter,56.0
3414,hooters,40.0
3415,sombre,12.0
3416,pack,4108.0
3417,costly,32.0
3418,pornos,31.0
3419,petal,39.0
3420,embroidered,14.0
3421,payers,13.0
3422,albany,21.0
3423,grant,168.0
3424,makeshift,24.0
3425,grana,21.0
3426,vulnerable,41.0
3427,grand,1548.0
3428,shiesty,41.0
3429,composition,77.0
3430,tekken,18.0
3431,fatty,109.0
3432,rhames,23.0
3433,ratings,28.0
3434,banter,21.0
3435,blair,37.0
3436,youngsters,102.0
3437,stick_shift,56.0
3438,000,295.0
3439,007,18.0
3440,fatti,42.0
3441,an_encore,36.0
3442,fatta,24.0
3443,writtin,20.0
3444,manute,21.0
3445,mobb,130.0
3446,wha_wha,49.0
3447,thorazine,15.0
3448,synopsis,17.0
3449,moby,30.0
3450,chainsaws,14.0
3451,consistency,13.0
3452,owww,74.0
3453,mobs,38.0
3454,{so,13.0
3455,flaming,80.0
3456,bearer,48.0
3457,pepto,16.0
3458,shivering,33.0
3459,settlements,13.0
3460,technicians,18.0
3461,procrastinating,13.0
3462,nikki,75.0
3463,shortcut,21.0
3464,cherries,46.0
3465,questioned,55.0
3466,pentium,11.0
3467,liq,22.0
3468,ight,57.0
3469,ruff,118.0
3470,grida,39.0
3471,motorola,90.0
3472,kitty_kitty,49.0
3473,dearly,66.0
3474,ponds,16.0
3475,success,1011.0
3476,envisioned,31.0
3477,eer,18.0
3478,eel,20.0
3479,een,13.0
3480,keke,48.0
3481,eeh,18.0
3482,eee,23.0
3483,pippen,95.0
3484,terminology,12.0
3485,sketch,68.0
3486,yola,177.0
3487,ashin,36.0
3488,freebase,22.0
3489,autres,16.0
3490,yolo,77.0
3491,lipo,27.0
3492,yolk,41.0
3493,succede,12.0
3494,economic,66.0
3495,plumbers,14.0
3496,gracie,14.0
3497,mr_jones,54.0
3498,competitions,32.0
3499,simmer,44.0
3500,clothing_line,32.0
3501,benzina,15.0
3502,crammed,28.0
3503,benzino,70.0
3504,goin_ham,46.0
3505,assists,21.0
3506,negatives,26.0
3507,smothered,97.0
3508,kimora,26.0
3509,wouldnt,3942.0
3510,bgs,26.0
3511,questambiente_gonfio,34.0
3512,silence,753.0
3513,beeda,12.0
3514,hog_tied,26.0
3515,angel_dust,101.0
3516,subaru,11.0
3517,fried_rice,40.0
3518,trendsetters,23.0
3519,placing,38.0
3520,somethang,11.0
3521,{yeah,29.0
3522,visas,60.0
3523,sich,98.0
3524,eons,44.0
3525,oohwee,23.0
3526,underboss,14.0
3527,prfre,29.0
3528,bygones,52.0
3529,fettuccine,23.0
3530,tragically,25.0
3531,sick,5996.0
3532,stretch_marks,31.0
3533,injection,45.0
3534,limpin,60.0
3535,poochie,18.0
3536,pas_de,102.0
3537,similac,37.0
3538,politic,94.0
3539,similar,437.0
3540,boss_hogg,66.0
3541,ordered,210.0
3542,gas_bags,35.0
3543,ancestors,111.0
3544,creeper,51.0
3545,application,47.0
3546,shmigo,18.0
3547,department,108.0
3548,aprons,12.0
3549,manhattan,190.0
3550,arithmetic,18.0
3551,creeped,18.0
3552,jettin,17.0
3553,steve_harvey,29.0
3554,invitin,69.0
3555,studyin,35.0
3556,wohl,14.0
3557,smiley,42.0
3558,suckaz,33.0
3559,smiled,128.0
3560,e,6766.0
3561,dvd,216.0
3562,sve,15.0
3563,orbit,129.0
3564,bribe,23.0
3565,ignorant,508.0
3566,underrated,181.0
3567,tweeter,13.0
3568,tweeted,14.0
3569,compact,36.0
3570,birthplace,44.0
3571,stunned,41.0
3572,{uh,24.0
3573,beasting,21.0
3574,strong_survive,84.0
3575,warpath,13.0
3576,jehova,13.0
3577,grandmoms,19.0
3578,friendly,374.0
3579,stutterin,12.0
3580,v8,26.0
3581,sicc,28.0
3582,cheerio,21.0
3583,wave,1349.0
3584,wavy,259.0
3585,un_po,121.0
3586,huh_huh,184.0
3587,yourselves,56.0
3588,nausea,15.0
3589,snuggle,20.0
3590,compassionate,12.0
3591,michael,623.0
3592,watered,22.0
3593,ryan,135.0
3594,akup,2.0
3595,enforce,32.0
3596,modelin,30.0
3597,jump,3702.0
3598,jums,19.0
3599,9_5,93.0
3600,vampire,231.0
3601,9_1,99.0
3602,mille,65.0
3603,doublin,23.0
3604,blimps,13.0
3605,fifteenth,27.0
3606,radicals,12.0
3607,pancake,132.0
3608,enterprising,12.0
3609,kidnapped,133.0
3610,vacay,42.0
3611,convert,60.0
3612,walkman,55.0
3613,gent,16.0
3614,slim_thug,99.0
3615,reloadin,15.0
3616,gene,92.0
3617,salvation,93.0
3618,foresee,17.0
3619,clark,92.0
3620,pinkies,16.0
3621,manage,272.0
3622,infest,137.0
3623,gutta_gutta,28.0
3624,hussle,71.0
3625,camera,1832.0
3626,coldplay,31.0
3627,family_members,78.0
3628,pinnochio,13.0
3629,camero,13.0
3630,formally,11.0
3631,um_um,25.0
3632,charming,57.0
3633,rivalry,25.0
3634,appointed,34.0
3635,meen,14.0
3636,wearin,1627.0
3637,meee,19.0
3638,lapse,20.0
3639,recession,130.0
3640,servants,26.0
3641,meet,3723.0
3642,averages,17.0
3643,galera,14.0
3644,links,154.0
3645,echos,11.0
3646,wizzurp,12.0
3647,chiss,14.0
3648,blaine,4.0
3649,sought,49.0
3650,waterproof,24.0
3651,cameras_flash,30.0
3652,sentiments,33.0
3653,nard,13.0
3654,bandana,371.0
3655,listens,94.0
3656,narc,28.0
3657,socked,49.0
3658,fare,273.0
3659,farm,195.0
3660,bottom_line,163.0
3661,thunderstorm,47.0
3662,fark,16.0
3663,ronald,42.0
3664,fart,112.0
3665,fouled,15.0
3666,toma,24.0
3667,alibis,16.0
3668,werent_fucking,59.0
3669,oogie,11.0
3670,sisqo,19.0
3671,bloodstream,49.0
3672,excedrin,28.0
3673,sigel,63.0
3674,capsule,62.0
3675,scoop,379.0
3676,encyclopedia,21.0
3677,scoot,41.0
3678,siger,23.0
3679,cazzi,14.0
3680,dirty_dirty,129.0
3681,cazzo,152.0
3682,pippens,20.0
3683,a/c,33.0
3684,an_instant,78.0
3685,including,75.0
3686,costume,61.0
3687,calliope,38.0
3688,carnivores,12.0
3689,dancin,1715.0
3690,walnut,15.0
3691,yahhh,67.0
3692,cakin,55.0
3693,breezin,60.0
3694,wells,76.0
3695,frontal,17.0
3696,stout,58.0
3697,yugo,20.0
3698,university,76.0
3699,slide,1996.0
3700,gamblin,220.0
3701,attachments,16.0
3702,twizzy,35.0
3703,bluetooth,33.0
3704,supermodel,38.0
3705,separating,24.0
3706,special,1284.0
3707,butch,45.0
3708,braxton,13.0
3709,entertainment,365.0
3710,armor,319.0
3711,hoopers,14.0
3712,freaky_deaky,36.0
3713,peedi,25.0
3714,birthing,17.0
3715,geld,41.0
3716,cause,67238.0
3717,hopscotch,63.0
3718,rap_sheet,63.0
3719,galaxies,44.0
3720,jill,74.0
3721,achin,149.0
3722,jiven,11.0
3723,time},14.0
3724,waco,28.0
3725,emory,20.0
3726,duns,26.0
3727,timer,137.0
3728,music_inc,38.0
3729,confrontations,16.0
3730,resumes,11.0
3731,timed,12.0
3732,humphrey,16.0
3733,confuse,247.0
3734,cramp,57.0
3735,bitch,65708.0
3736,sosa,487.0
3737,snipe_out,90.0
3738,hehe,80.0
3739,quante,66.0
3740,____,15.0
3741,maurice,20.0
3742,wrapper,78.0
3743,noooooo,12.0
3744,ankle,339.0
3745,quanta,24.0
3746,cmere,38.0
3747,nastiest,14.0
3748,craziest,73.0
3749,getcha,460.0
3750,innovate,36.0
3751,chemicals,89.0
3752,getchu,25.0
3753,hines,36.0
3754,catered,21.0
3755,bloaw,33.0
3756,grillin,175.0
3757,girdle,20.0
3758,hiney,11.0
3759,thrashing,11.0
3760,20_minutes,44.0
3761,enforced,12.0
3762,ghostwriter,37.0
3763,skeeze,14.0
3764,conversate,132.0
3765,hizzle,14.0
3766,horrors,16.0
3767,pom_poms,30.0
3768,halal,15.0
3769,lone_ranger,33.0
3770,metaphysics,22.0
3771,bastard,1178.0
3772,holy_ghost,174.0
3773,pushups,13.0
3774,homeboy,1178.0
3775,relatives,85.0
3776,sh,110.0
3777,surroundin,125.0
3778,battled,32.0
3779,c_notes,136.0
3780,homeboi,13.0
3781,blades,363.0
3782,venereal,19.0
3783,regs,11.0
3784,mimosa,24.0
3785,sc,20.0
3786,hiphop,3592.0
3787,vengeance,152.0
3788,jim_carrey,30.0
3789,gallery,42.0
3790,cellphone,423.0
3791,cima,13.0
3792,subtracted,12.0
3793,urn,63.0
3794,indy,18.0
3795,astonishing,24.0
3796,urr,17.0
3797,indo,354.0
3798,skunk,240.0
3799,dirty_south,284.0
3800,no_homo,153.0
3801,drunken,87.0
3802,loadin,252.0
3803,wop,210.0
3804,ottoman,14.0
3805,hondas,16.0
3806,ayee,54.0
3807,unfinished,18.0
3808,sheriff,82.0
3809,nitrous,20.0
3810,brighten,52.0
3811,brighter,175.0
3812,versatile,62.0
3813,inherited,59.0
3814,milian,16.0
3815,achieve,226.0
3816,kopf,24.0
3817,tobacco,74.0
3818,meltin,112.0
3819,tuned,136.0
3820,assieds,17.0
3821,last_night,958.0
3822,theme_song,74.0
3823,widow,81.0
3824,multiplying,28.0
3825,humpty,53.0
3826,canine,29.0
3827,immigrant,34.0
3828,officials,38.0
3829,reinforcements,11.0
3830,operated,16.0
3831,shiest,14.0
3832,cobain,38.0
3833,tenn,26.0
3834,drunker,10.0
3835,nightmare,694.0
3836,tend,273.0
3837,tyra,39.0
3838,tyre,13.0
3839,tens,197.0
3840,range_rove,34.0
3841,tenu,22.0
3842,tent,130.0
3843,ken,167.0
3844,kel,44.0
3845,keg,67.0
3846,vibratin,22.0
3847,supernova,42.0
3848,growls,13.0
3849,avid,14.0
3850,interfere,69.0
3851,key,3704.0
3852,kev,39.0
3853,ker,12.0
3854,hits,1676.0
3855,sniff,481.0
3856,vanilla_ice,40.0
3857,limite,30.0
3858,jin,19.0
3859,limiti,14.0
3860,diplomats,31.0
3861,tuesday,257.0
3862,paranormal,25.0
3863,lootin,59.0
3864,wyclef,108.0
3865,erased,132.0
3866,little_bitty,108.0
3867,stompin,344.0
3868,thanked,27.0
3869,sneak_dissin,112.0
3870,cent,416.0
3871,immense,23.0
3872,eraser,18.0
3873,outlawz,144.0
3874,cena,26.0
3875,troopers,54.0
3876,controlled,96.0
3877,wash_away,87.0
3878,guerrillas,30.0
3879,controller,100.0
3880,abortions,62.0
3881,msica,19.0
3882,cartwright,12.0
3883,kangsta,14.0
3884,comets,40.0
3885,simons,28.0
3886,evelyn,17.0
3887,surface,423.0
3888,simone,52.0
3889,click_clack,325.0
3890,hearted,104.0
3891,cometh,11.0
3892,goodfellas,57.0
3893,parte,91.0
3894,benjis,127.0
3895,parto,11.0
3896,speaker,1138.0
3897,northwest,40.0
3898,party,7458.0
3899,cedes_cedes,24.0
3900,hmmm_hmmm,23.0
3901,jolly_ranchers,32.0
3902,impeccable,64.0
3903,estado,22.0
3904,steals,16.0
3905,destruction,248.0
3906,rift,19.0
3907,bone_bone,38.0
3908,ashley,56.0
3909,shalom,28.0
3910,multiplyin,18.0
3911,46,36.0
3912,riff,104.0
3913,drowns,21.0
3914,four_fours,65.0
3915,warlord,35.0
3916,baby_doll,79.0
3917,collectin,181.0
3918,42,39.0
3919,batters,18.0
3920,distant,184.0
3921,femme,40.0
3922,density,14.0
3923,twilight,83.0
3924,vorrebbe,12.0
3925,maylay,17.0
3926,an_eskimo,32.0
3927,morgue,208.0
3928,riverside,31.0
3929,balloons,68.0
3930,too_hort,145.0
3931,bottoms,197.0
3932,propeller,34.0
3933,intersection,56.0
3934,loss,700.0
3935,lincoln,208.0
3936,necessary,333.0
3937,lost,6793.0
3938,publishin,22.0
3939,rots,17.0
3940,liftin,248.0
3941,fernando,24.0
3942,gangsters,548.0
3943,episodes,47.0
3944,lose,4948.0
3945,loso,52.0
3946,climbers,11.0
3947,glare,97.0
3948,freshy,22.0
3949,gauntlets,13.0
3950,library,91.0
3951,homo,139.0
3952,homi,53.0
3953,trucker,40.0
3954,home,13130.0
3955,leery,14.0
3956,pinpoint,20.0
3957,broad,1139.0
3958,fanno,77.0
3959,overlap,12.0
3960,cradle,175.0
3961,wendy,36.0
3962,calabasas,13.0
3963,sweepstakes,18.0
3964,fanny,41.0
3965,puede,21.0
3966,road_rage,48.0
3967,troy_ave,49.0
3968,primetime,33.0
3969,smoking_blunts,58.0
3970,motherfucka,373.0
3971,muhfuckin,160.0
3972,cul_de,41.0
3973,photoshoot,17.0
3974,nightclub,27.0
3975,mudd,39.0
3976,pistols,824.0
3977,blat_blat,40.0
3978,previously,23.0
3979,doesnt_mean,109.0
3980,pistola,26.0
3981,pointless,38.0
3982,tabernacle,50.0
3983,additional,31.0
3984,lagged,14.0
3985,reciprocate,12.0
3986,hurted,11.0
3987,ubi,14.0
3988,afrika,22.0
3989,max_payne,27.0
3990,swoopin,11.0
3991,north,947.0
3992,napa,17.0
3993,wicked_wicked,71.0
3994,blaming,73.0
3995,astro,55.0
3996,unga,11.0
3997,strawberries,35.0
3998,gain,791.0
3999,sprinkling,12.0
4000,highest,324.0
4001,metronome,23.0
4002,derelicts,12.0
4003,fuckboy,43.0
4004,itis,20.0
4005,display,233.0
4006,years_old,391.0
4007,flashin,529.0
4008,humpin,64.0
4009,sanders,39.0
4010,universal,243.0
4011,mackin,422.0
4012,kisses,427.0
4013,kissed,334.0
4014,ipods,16.0
4015,visitin,27.0
4016,functions,58.0
4017,ingredients,48.0
4018,flockaveli,11.0
4019,germaine,42.0
4020,luca_brasi,29.0
4021,finch,69.0
4022,dip_dip,70.0
4023,deliverin,23.0
4024,stat,102.0
4025,crushin,274.0
4026,star,6084.0
4027,pervin,19.0
4028,fois,37.0
4029,stax,2.0
4030,stay,15279.0
4031,foil,75.0
4032,backstage,189.0
4033,stan,144.0
4034,yeaaaaaah,24.0
4035,stai,81.0
4036,til_november,54.0
4037,accidents,25.0
4038,samsung,25.0
4039,fertilize,19.0
4040,bruisin,12.0
4041,indirectly,14.0
4042,compromised,11.0
4043,whoops,41.0
4044,knelt,14.0
4045,judgement_day,45.0
4046,whoopi,24.0
4047,nego,17.0
4048,perverted,56.0
4049,nega,17.0
4050,swae,11.0
4051,swag,2181.0
4052,buddy,581.0
4053,swab,14.0
4054,swam,47.0
4055,swan,66.0
4056,disability,15.0
4057,painters,18.0
4058,swat,98.0
4059,abre,11.0
4060,bays,12.0
4061,swap,113.0
4062,abra,21.0
4063,offending,35.0
4064,recycle,50.0
4065,aux,73.0
4066,sorry,2821.0
4067,sway,190.0
4068,budda,27.0
4069,voil,20.0
4070,collaborate,19.0
4071,void,166.0
4072,peanut_butter,191.0
4073,voix,11.0
4074,confederate,37.0
4075,spaccone,20.0
4076,voir,19.0
4077,vois,37.0
4078,ligesom,13.0
4079,andretti,37.0
4080,perfect_picture,61.0
4081,richie_rich,56.0
4082,freestyling,52.0
4083,enhance,52.0
4084,whirlwind,78.0
4085,me/,17.0
4086,me+,23.0
4087,likely,200.0
4088,tameka,12.0
4089,kidnap,240.0
4090,cardinal_sin,75.0
4091,memorizing,11.0
4092,undastand,14.0
4093,ghandi,16.0
4094,spokesman,21.0
4095,butll,11.0
4096,confusin,53.0
4097,filthy_rich,99.0
4098,undisputed,66.0
4099,mee,23.0
4100,med,137.0
4101,niche,36.0
4102,mea,11.0
4103,mec,54.0
4104,mem,16.0
4105,mel,96.0
4106,men,2850.0
4107,disposable,21.0
4108,meh,39.0
4109,mek,201.0
4110,meu,119.0
4111,met,3244.0
4112,nicht,335.0
4113,mes,266.0
4114,mer,24.0
4115,me},48.0
4116,allll,16.0
4117,jesus_piece,142.0
4118,mex,26.0
4119,an_earthquake,63.0
4120,inspired_by,93.0
4121,recordings,23.0
4122,bugattis,37.0
4123,flees,25.0
4124,chrysler,26.0
4125,complicated,259.0
4126,intrigue,15.0
4127,joshua,12.0
4128,fantastic,231.0
4129,big_moe,86.0
4130,latifah,30.0
4131,sliced,82.0
4132,mimi,19.0
4133,guests,33.0
4134,grand_theft,36.0
4135,rattin,35.0
4136,marley_marl,51.0
4137,lightsaber,18.0
4138,survive,1292.0
4139,coons,19.0
4140,rock_bottom,151.0
4141,grabbin,501.0
4142,by_nature,103.0
4143,biatch,269.0
4144,rook,44.0
4145,room,4762.0
4146,sojourner,13.0
4147,blonde_hair,32.0
4148,roof,2118.0
4149,backside,51.0
4150,fadeaway,19.0
4151,root,307.0
4152,unmarked,34.0
4153,record_company,59.0
4154,climax,72.0
4155,foods,44.0
4156,marlo,19.0
4157,loathe,13.0
4158,years_eve,39.0
4159,lochness,11.0
4160,pogo,75.0
4161,red_nose,89.0
4162,hab_ich,35.0
4163,colds,26.0
4164,aboard,150.0
4165,blanks,56.0
4166,disassemble,11.0
4167,believers,108.0
4168,campbellton,14.0
4169,vicious,505.0
4170,blanka,20.0
4171,egos,97.0
4172,ova,202.0
4173,ove,21.0
4174,graduated_from,106.0
4175,ovo,51.0
4176,merry_christmas,35.0
4177,third,1032.0
4178,shawdy,34.0
4179,no_hesitation,133.0
4180,goodbye,460.0
4181,operate,97.0
4182,athletes,93.0
4183,shay,30.0
4184,garms,22.0
4185,wut,114.0
4186,pothole,19.0
4187,wuz,20.0
4188,nostra,60.0
4189,an_onion,37.0
4190,fable,44.0
4191,wuk,59.0
4192,fellas,593.0
4193,windshield,93.0
4194,before,14524.0
4195,chatte,21.0
4196,begge,12.0
4197,personal,576.0
4198,gente,133.0
4199,crew,4437.0
4200,holsters,39.0
4201,gents,45.0
4202,seventy_five,28.0
4203,aston,129.0
4204,ona,21.0
4205,victimes,11.0
4206,shad,32.0
4207,combination,179.0
4208,runny,67.0
4209,caterpillar,65.0
4210,genovese,14.0
4211,glazed,27.0
4212,anit,12.0
4213,downright,13.0
4214,lorena,15.0
4215,metaphoric,12.0
4216,twelve_oclock,31.0
4217,ventilation,31.0
4218,wodie,200.0
4219,conceive,56.0
4220,interscope,71.0
4221,calmly,60.0
4222,weightless,11.0
4223,smooth_operator,29.0
4224,skins,165.0
4225,trading,58.0
4226,forgot,1111.0
4227,aids,375.0
4228,merchants,16.0
4229,feda,48.0
4230,skwad,20.0
4231,human_being,143.0
4232,tellement,22.0
4233,lurks,34.0
4234,ihop,41.0
4235,debit,63.0
4236,mando,18.0
4237,venezuela,22.0
4238,foto,44.0
4239,resume,169.0
4240,ascending,15.0
4241,hoodie,341.0
4242,slammin,251.0
4243,brrr,44.0
4244,blinders,15.0
4245,tabasco,25.0
4246,zapp,18.0
4247,red_rum,38.0
4248,cosmic,93.0
4249,vocal_booth,43.0
4250,shush,31.0
4251,passcode,13.0
4252,uses,55.0
4253,volo,12.0
4254,enraged,23.0
4255,notha,13.0
4256,lettuce,149.0
4257,floors,306.0
4258,downside,12.0
4259,bionic,49.0
4260,sockin,28.0
4261,hawks,66.0
4262,sometin,15.0
4263,dominicans,42.0
4264,bakel_city,28.0
4265,pran,14.0
4266,stuffed,387.0
4267,2am,13.0
4268,broken_glass,52.0
4269,digs,29.0
4270,digo,20.0
4271,digi,105.0
4272,mattina,27.0
4273,yes_indeed,78.0
4274,dawkins,15.0
4275,bitterness,33.0
4276,high_roller,55.0
4277,evaporated,11.0
4278,flirts,11.0
4279,palace,192.0
4280,rattle,170.0
4281,strippin,256.0
4282,ginger,61.0
4283,telly,271.0
4284,grind,4828.0
4285,fifty_thousand,83.0
4286,jealously,16.0
4287,nice_guy,145.0
4288,avion,18.0
4289,bengal,15.0
4290,six_figures,81.0
4291,fitting,111.0
4292,sleeper,94.0
4293,quarterback,169.0
4294,middle_east,64.0
4295,clapton,19.0
4296,killa_beez,42.0
4297,mario,136.0
4298,marie,44.0
4299,kinds_of,31.0
4300,zealand,19.0
4301,observation,22.0
4302,bathing_ape,44.0
4303,wouldnt_trade,66.0
4304,breathes,36.0
4305,breather,84.0
4306,whole_clique,170.0
4307,breathed,20.0
4308,scotch,101.0
4309,annoyed,83.0
4310,ambassador,55.0
4311,probe,23.0
4312,revolver,278.0
4313,kruger,12.0
4314,maverick,41.0
4315,liberty,131.0
4316,northeast,19.0
4317,medallions,65.0
4318,french_kiss,40.0
4319,blut,12.0
4320,celery,37.0
4321,quieres,37.0
4322,gangsta,5048.0
4323,jailed,25.0
4324,stained_glass,42.0
4325,appetizer,17.0
4326,christopher,110.0
4327,talkies,2.0
4328,saturn,62.0
4329,convivi,2.0
4330,earl,212.0
4331,earn,572.0
4332,godliness,19.0
4333,reload,259.0
4334,monumental,55.0
4335,ooohh,52.0
4336,troop,93.0
4337,flex_flex,30.0
4338,effing,13.0
4339,aiiyo,12.0
4340,sammy_sosa,27.0
4341,imitate,77.0
4342,spofford,12.0
4343,allure,63.0
4344,interruptions,15.0
4345,zack,30.0
4346,smirks,11.0
4347,woozy,66.0
4348,safe_sex,73.0
4349,orgasmic,14.0
4350,sapere,26.0
4351,gunned_down,55.0
4352,omg,47.0
4353,dope_dealer,134.0
4354,pee_pee,45.0
4355,weary,94.0
4356,vernon,48.0
4357,cashville,54.0
4358,upfront,21.0
4359,cousin,1689.0
4360,motto,382.0
4361,yahweh,17.0
4362,counselor,28.0
4363,resistant,22.0
4364,compton,986.0
4365,jesse_james,29.0
4366,russia,72.0
4367,sweepers,5.0
4368,responsible_for,93.0
4369,carat,197.0
4370,yaar,11.0
4371,yaah,18.0
4372,lanterns,11.0
4373,bloodshed_hua,20.0
4374,quinn,30.0
4375,drilled,16.0
4376,mannish,42.0
4377,putt,23.0
4378,copycat,29.0
4379,tint,559.0
4380,dangereux,14.0
4381,winning_winning,31.0
4382,after_dark,159.0
4383,tiny,231.0
4384,cyrus,35.0
4385,ting,598.0
4386,commission,102.0
4387,trigger,1347.0
4388,detrimental,34.0
4389,tina,163.0
4390,oooooh,119.0
4391,basil,15.0
4392,entered,152.0
4393,lovely,549.0
4394,tink,28.0
4395,lip_gloss,88.0
4396,push_ups,56.0
4397,deeper,528.0
4398,dismiss,114.0
4399,muthafuckers,90.0
4400,feet_tall,47.0
4401,harmonize,17.0
4402,k_dot,114.0
4403,sittin_sideways,45.0
4404,flat_screen,76.0
4405,downplay,21.0
4406,cambi,19.0
4407,lionel,46.0
4408,cypress_hill,37.0
4409,vendetta,88.0
4410,mafucka,52.0
4411,ugly,1262.0
4412,servir,13.0
4413,100_racks,60.0
4414,pessimistic,19.0
4415,seven,1758.0
4416,cane,327.0
4417,cani,13.0
4418,cant,45209.0
4419,cans,198.0
4420,rocket_science,33.0
4421,sever,129.0
4422,80k,15.0
4423,waging,15.0
4424,shimmering,12.0
4425,fatherless,39.0
4426,parish,31.0
4427,realizing,75.0
4428,toolbox,17.0
4429,80s,556.0
4430,colonies,17.0
4431,meets,229.0
4432,bearded,20.0
4433,ella,148.0
4434,elle,114.0
4435,renaissance,117.0
4436,realness,140.0
4437,unicorn,41.0
4438,dwamn,24.0
4439,presto,38.0
4440,unconditionally,14.0
4441,youre,24769.0
4442,inherit,85.0
4443,808,233.0
4444,strally,11.0
4445,reese,72.0
4446,representin,601.0
4447,coliseum,40.0
4448,tiimmy_tiimmy,15.0
4449,800,99.0
4450,cellie,14.0
4451,investments,38.0
4452,yeh,156.0
4453,yeo,11.0
4454,kinky,83.0
4455,yea,4465.0
4456,blessin,880.0
4457,yee,82.0
4458,assigned,12.0
4459,fighters,66.0
4460,yep,607.0
4461,yes,4864.0
4462,yer,55.0
4463,yet,3106.0
4464,brassiere,15.0
4465,royal,292.0
4466,tinted,348.0
4467,slauson,82.0
4468,contestant,32.0
4469,save,3101.0
4470,sava,26.0
4471,sailors,13.0
4472,slow_mo,138.0
4473,discreet,52.0
4474,head_honcho,46.0
4475,hatchback,41.0
4476,fashionably,14.0
4477,repossessed,12.0
4478,nude,122.0
4479,zombies,148.0
