,Comp1,Comp2,Word,Topic
191,-5.624365875,20.71937611,cash,money
192,21.78174804,1.072351768,tried,Other
193,-6.455112701,-8.418858563,week,Other
194,-21.74548343,11.2204803,weed,drugs
195,4.285424031,-1.610571149,without,Other
196,2.349432971,-4.294223495,when,Other
197,-3.594786549,-16.29718656,there,Other
198,13.25247662,8.41480852,taste,Other
199,12.13875881,-17.32307499,wife,family
200,-10.88642719,-18.63945159,sun,Other
201,-2.922469532,11.30237498,short,Other
202,14.63644331,6.792863788,bout,Other
203,7.874644051,-3.197794386,somebody,Other
204,-2.254963417,20.21127794,weight,Other
205,14.86677344,-9.764118252,story,Other
206,-9.70908812,-14.5004717,king,Other
207,1.789285693,20.81585862,sold,drugs
208,13.309361,8.492047318,sweet,Other
209,-13.88420741,4.636403069,kick,Other
210,-8.871541794,17.06482119,9,women
211,5.75814573,23.49565836,spittin,rap
212,-7.484319679,-1.442446873,long,Other
213,-19.97444967,23.05353129,peace,Other
214,10.75466559,-2.62966637,nice,women
215,-11.57912711,-13.98262789,gang,gangs
216,12.50029275,15.04164453,folk,Other
217,-15.07339814,-8.895470695,wrist,clothes
218,3.890314252,4.368932391,somethin,Other
219,16.87093073,13.55459272,our,Other
220,-4.741487215,1.736078213,out,Other
221,-14.89473664,19.54690109,g,drugs
222,-16.92142297,-9.741289846,clip,violence
223,1.01645858,-2.267122101,who,Other
224,3.305651887,-0.9941756977,why,Other
225,-12.23014482,1.451516616,ho,sex
226,-2.239394395,-16.40568393,fear,Other
227,15.16410877,14.48760324,bought,Other
228,12.75975058,-14.94506617,job,money
229,-8.079887975,8.331051616,thug,gangs
230,7.064931904,-5.749517095,promise,Other
231,-5.446246227,24.40213719,cake,money
232,4.143675509,2.252199659,kinda,Other
233,0.9015209849,-8.632975873,hurt,Other
234,3.738918074,-7.502389021,listen,Other
235,13.4273207,2.603461084,doin,Other
236,-13.66761793,-10.76827233,bomb,Other
237,-2.801538574,-3.710148252,best,Other
238,9.263541062,-23.51756117,life,Other
239,-12.40010246,9.352328469,chill,Other
240,4.642414983,-8.509540888,givin,Other
241,12.71660896,15.09161174,people,Other
242,6.141010734,10.24413438,for,Other
243,7.989091314,-1.612200333,happy,Other
244,-0.3413774592,14.90688575,later,Other
245,-13.8010996,5.26368507,hittin,Other
246,-10.5637265,-13.78552585,team,Other
247,1.396284466,14.72921394,love,love
248,-19.58878302,-5.376136283,spot,neighborhood
249,28.65373224,-10.10277836,feelin,Other
250,-7.837245813,18.88878302,million,money
251,-10.3991937,16.98795327,2,Other
252,4.966813284,-11.78033104,future,Other
253,-21.19550515,1.327024541,take,Other
254,21.06079226,8.277589001,thatll,Other
255,11.68781503,-0.239320654,askin,Other
256,2.813369613,-1.14785041,thats_why,men
257,10.84041857,4.327975159,playin,Other
258,5.050420392,3.372842206,more_than,Other
259,22.37636665,-2.033116424,went,hustle
260,18.22099023,8.179459355,act,Other
261,-6.198406219,7.211374699,dawg,men
262,15.30084172,4.060741574,gone,Other
263,1.181290704,10.5108344,ah,Other
264,8.844797814,5.170893263,am,Other
265,-1.728423293,-0.1452711371,an,Other
266,16.04439485,-8.513207251,as,Other
267,-1.528952383,-5.050932988,at,Other
268,-0.5615822417,10.28595943,ay,Other
269,-12.05054859,3.730170158,pick,violence
270,9.194353566,-3.710648647,beautiful,women
271,15.72893921,-6.952124115,loud,Other
272,1.334741317,21.15470789,sellin,drugs
273,-3.491467724,6.203319629,motherfuckin,curses
274,3.299717013,-2.361188732,always,Other
275,-7.47934862,-19.70483069,throwin,Other
276,-12.59706036,-4.709757898,number,Other
277,1.800196812,-15.26645667,play,Other
278,-4.621447044,-11.97743689,plan,men
279,-4.455560854,-3.157173263,set,Other
280,-4.099058201,-5.119405565,sex,sex
281,4.186047974,-12.43035207,see,clothes
282,-0.8025154966,3.176423166,whole,Other
283,-27.40461159,10.50095152,drunk,club
284,-3.687165907,-22.3066726,fire,violence
285,-10.30912568,-15.66730449,funny,Other
286,-16.14714759,-15.29007889,chest,sex
287,4.148156343,17.84767674,rappers,rap
288,3.35671333,-4.193492261,be,Other
289,0.05776636392,-0.7731229507,by,Other
290,-7.130005998,-6.039317562,line,rap
291,2.277150754,1.687501221,hella,Other
292,9.565431409,-17.23949306,send,Other
293,-3.151866948,3.027052018,bird,Other
294,-15.96341324,-17.23383535,leg,sex
295,16.9041565,9.092306976,let,Other
296,1.513439139,8.119437983,_,Other
297,-22.05714066,-8.265315401,benz,cars
298,-12.97293463,-19.30600706,high,drugs
299,-8.093534448,-13.18807931,standin,Other
300,-13.18886551,-11.93924474,kiss,sex
301,15.80270684,-11.45679406,jesus,religion
302,5.559985999,-6.187072028,hope,Other
303,3.730638191,27.14808227,lala,Other
304,-18.8046295,11.6510188,drug,drugs
305,0.1813387176,-15.75343288,ball,Other
306,11.41613295,18.22921372,stage,Other
307,-9.107763185,24.21660564,count,money
308,-25.63439771,11.81500969,drinkin,drugs
309,-21.83492463,9.585251677,smoke,drugs
310,-1.651671025,0.8039955543,in,Other
311,-14.07332669,-2.342719297,green,drugs
312,0.3926023156,-5.243356405,then,Other
313,10.2614984,12.80912092,them,Other
314,11.03136405,14.11969426,they,Other
315,-16.9228055,-9.799170019,chopper,violence
316,-13.92940959,-8.918175916,shinin,clothes
317,-0.9281461325,22.89649219,lot_of,Other
318,12.99606408,0.931181673,do,Other
319,-2.323739874,28.16135178,di,Other
320,-0.2243655354,27.61820174,de,Other
321,-11.58638983,19.84354219,da,Other
322,-20.12470263,-4.896832238,cop,neighborhood
323,5.771481154,-2.115734559,nobody,Other
324,24.08716276,-5.356926425,kept,Other
325,-0.9837982938,-0.4726861822,the,Other
326,-11.42992057,19.75238185,tha,Other
327,-4.024122259,-9.430288324,fight,violence
328,16.78024047,12.84836173,together,Other
329,15.08019275,3.927003056,zone,Other
330,-17.81384085,7.847119804,blast,violence
331,-15.48289665,20.24995281,p,drugs
332,1.951097956,-20.85089492,change,Other
333,8.763030178,-23.88834764,live,violence
334,15.0062307,-5.337699968,remember,Other
335,-5.819579486,2.019082337,cold,Other
336,-20.32108589,-8.157238186,window,drugs
337,-9.031278411,0.5652921069,half,Other
338,18.61436107,6.35067089,wont,Other
339,10.50274657,12.69819092,em,Other
340,3.244865911,10.54354506,okay,Other
341,10.97523952,16.33707435,shows,women
342,15.23535622,-14.12318366,friend,family
343,10.42166453,-14.45015451,ground,Other
344,-1.298160109,-3.583608552,first,Other
345,-1.262121453,-6.651320638,finish,Other
346,-7.784705104,-14.66984482,touch,Other
347,-7.569999085,8.382758131,real,Other
348,-7.174827427,-5.239926612,read,religion
349,3.431091936,1.01889934,very,Other
350,-7.494543047,-1.432686318,strong,Other
351,-2.874096635,-9.586086522,soldier,Other
352,0.5259953088,4.512636847,broke,poverty
353,-8.597162672,16.25882908,nine,Other
354,-10.80662977,18.74207161,fo,Other
355,-10.6989016,7.03991399,chicks,women
356,7.859229066,-9.320767372,fool,Other
357,18.79073334,-12.26936868,food,drugs
358,7.676745167,-24.00152327,die,violence
359,14.89756368,-0.9108776018,since,Other
360,0.9001421775,-8.628940852,dirt,Other
361,-7.50199656,-16.84194242,put,Other
362,-4.583814062,11.67362179,shoutout,Other
363,14.99204365,-8.084954456,long_as,Other
364,10.41365468,-2.858763756,pretty,women
365,-17.49508311,10.93692397,crack,drugs
366,21.1047611,1.48041906,used,Other
367,-7.604275452,14.6867914,dime,women
368,-8.236910796,-7.685815713,grind,hustle
369,6.663423948,0.1591747843,havin,Other
370,10.29643278,11.91806258,too_many,Other
371,-11.94308146,-7.476957683,run,Other
372,-13.23462483,16.64310379,gs,money
373,8.780169032,8.346027862,go,Other
374,-11.15286607,1.324615639,ass,women
375,4.738884973,-17.91275257,keep,Other
376,-5.077920414,-17.80786359,bed,Other
377,2.217060548,-3.602357479,bet,Other
378,-10.30022794,-2.013790703,she,women
379,0.0344829901,7.960623884,gucci,clothes
380,4.158262936,-0.275472083,i,Other
381,-2.108364964,-13.43344961,killed,violence
382,-0.2247894081,10.06447023,ha,Other
383,22.04472983,-19.22812968,he,men
384,8.56069567,13.02683576,clothes,clothes
385,-17.43520151,-4.644662246,new,Other
386,6.381766973,-5.20153,never,Other
387,3.639564815,2.499499022,type,Other
388,4.637334273,-8.518460899,give,Other
389,-3.442180582,8.539610467,homie,men
390,-6.307956831,9.850980616,hood,neighborhood
391,8.113823786,1.3796767,matter,Other
392,-1.559041963,-25.05266213,stop,Other
393,8.136057014,6.75822257,is,Other
394,3.283958053,3.498288639,it,Other
395,8.65255422,5.631393471,im,Other
396,23.67713018,2.336866243,id,Other
397,2.414504961,-3.143593534,if,Other
398,-2.993835984,-20.39616727,burn,violence
399,14.74637778,-18.03685955,daddy,family
400,2.763079848,13.82876159,shit,curses
401,-11.05759012,-10.43977252,hangin,Other
402,16.34956413,-3.475968053,felt,Other
403,23.27345034,-1.40310517,fell,Other
404,10.50550925,-12.18154396,died,violence
405,-21.22962031,-10.91936797,ridin,cars
406,1.389957447,12.07497542,ooh,Other
407,-0.3068256977,4.994140586,crazy,Other
408,0.1723149281,-23.01704748,till,Other
409,6.106242736,2.304719417,grow,Other
410,4.132721336,-3.647761319,maybe,Other
411,4.451830942,-15.58022689,jail,prison
412,-2.736436639,-12.42939122,killer,violence
413,4.617707724,11.83925878,bullshit,curses
414,20.23748566,11.41924547,gotta,Other
415,14.47590446,12.79580492,were,Other
416,2.621498372,-18.64214775,pain,Other
417,-1.927586553,15.05432652,paid,money
418,-16.2171503,-1.771162343,black,Other
419,3.017196621,-11.86837001,behind,Other
420,12.33244105,11.79765024,those,Other
421,2.628123443,-16.78450416,same,Other
422,5.032525866,-5.311536387,hopin,Other
423,4.774014295,-4.377246327,missin,Other
424,18.78162365,9.016000971,imma,Other
425,25.15952531,10.82107836,fall,Other
426,-9.587353979,11.57617381,town,neighborhood
427,-2.380843633,27.99279175,dem,Other
