,0,1,2
3836,{ho,{how,0
4767,{now,{how,0
2837,{verse,[verse,0
5475,10_years,20_years,0
5476,10_years,15_years,0
5477,10_years,12_years,0
11439,100_000,50_000,0
11440,100_000,10_000,0
9250,100_bottles,pop_bottles,0
3134,100_grand,20_grand,0
8600,100_thousand,50_thousand,0
8601,100_thousand,30_thousand,0
5406,100k,1000,0
1959,10th,12th,0
1960,10th,18th,0
1961,10th,15th,0
1962,10th,11th,0
1963,10th,13th,0
4353,10th_grade,7th_grade,0
4354,10th_grade,9th_grade,0
4355,10th_grade,8th_grade,0
4356,10th_grade,sixth_grade,0
4357,10th_grade,6th_grade,0
4358,10th_grade,tenth_grade,0
10709,11th,18th,0
10710,11th,12th,0
10711,11th,10th,0
10712,11th,19th,0
4557,12_oclock,5_oclock,0
7735,12_years,15_years,0
7736,12_years,20_years,0
7737,12_years,10_years,0
7738,12_years,18_years,0
9112,125th,12th,0
5580,12th,11th,0
5581,12th,10th,0
5582,12th,125th,0
3937,13th,15th,0
3938,13th,10th,0
8755,14th,15th,0
8756,14th,19th,0
8757,14th,13th,0
8758,14th,10th,0
8575,15_minutes,30_minutes,0
8576,15_minutes,20_minutes,0
8577,15_minutes,ten_minutes,0
8578,15_minutes,5_minutes,0
1009,15_years,20_years,0
1010,15_years,10_years,0
1011,15_years,12_years,0
2767,15th,14th,0
2768,15th,13th,0
2769,15th,10th,0
2770,15th,25th,0
3211,16th,18th,0
2189,17th,7th,0
9374,18_years,12_years,0
9375,18_years,15_years,0
45,18th,11th,0
46,18th,10th,0
47,18th,19th,0
48,18th,28th,0
49,18th,16th,0
50,18th,12th,0
2681,19th,11th,0
2682,19th,18th,0
2683,19th,10th,0
2684,19th,14th,0
2685,19th,12th,0
1938,1llie,illie,0
5371,1st,31st,0
5767,20_grand,100_grand,0
1952,20_inch,24_inch,0
1953,20_inch,26_inch,0
1374,20_minutes,30_minutes,0
4403,20_years,10_years,0
4404,20_years,15_years,0
4405,20_years,12_years,0
1881,20th,24th,0
153,223s,223,1
7352,24_inch,20_inch,0
7353,24_inch,26_inch,0
3852,24_inches,24_inch,0
3853,24_inches,26_inches,0
2184,24th,20th,0
11105,25th,15th,0
11106,25th,24th,0
1650,26_inch,24_inch,0
1651,26_inch,20_inch,0
9982,26_inches,24_inches,0
7028,28th,24th,0
7029,28th,18th,0
6901,2pac,pac,0
10926,2x_},3x_},0
10927,2x_},4x_},0
5202,30_inches,24_inches,0
10702,30_minutes,20_minutes,0
10703,30_minutes,ten_minutes,0
10704,30_minutes,15_minutes,0
2693,30_thousand,50_thousand,0
2694,30_thousand,100_thousand,0
2695,30_thousand,ten_thousand,0
4507,31st,21st,0
6975,3x_},4x_},0
6976,3x_},2x_},0
9679,4/20,420,0
11465,40_cal,50_cal,0
9775,4th,24th,0
3042,4x_},3x_},0
3043,4x_},2x_},0
4593,5_minutes,30_minutes,0
4594,5_minutes,15_minutes,0
4595,5_minutes,20_minutes,0
4596,5_minutes,minutes,0
4597,5_minutes,ten_minutes,0
4598,5_minutes,10_minutes,0
2196,5_oclock,oclock,0
2197,5_oclock,o_clock,0
2198,5_oclock,12_oclock,0
11642,50_000,100_000,0
9176,50_cal,40_cal,0
5090,50_thousand,30_thousand,0
5091,50_thousand,100_thousand,0
5092,50_thousand,ten_thousand,0
11369,55th,57th,0
3267,6th_grade,sixth_grade,0
3268,6th_grade,ninth_grade,0
3269,6th_grade,7th_grade,0
3270,6th_grade,10th_grade,0
3271,6th_grade,8th_grade,0
3272,6th_grade,9th_grade,0
9518,7th,17th,0
396,7th_grade,10th_grade,0
397,7th_grade,sixth_grade,0
398,7th_grade,9th_grade,0
399,7th_grade,8th_grade,0
400,7th_grade,6th_grade,0
401,7th_grade,tenth_grade,0
11065,8th,28th,0
5566,8th_grade,9th_grade,0
5567,8th_grade,sixth_grade,0
5568,8th_grade,7th_grade,0
5569,8th_grade,10th_grade,0
5570,8th_grade,ninth_grade,0
5571,8th_grade,6th_grade,0
4213,9_millimeter,millimeter,0
4214,9_millimeter,nine_millimeter,0
3299,9/11,9_11,0
7436,9th_grade,8th_grade,0
7437,9th_grade,7th_grade,0
7438,9th_grade,10th_grade,0
7439,9th_grade,ninth_grade,0
7440,9th_grade,sixth_grade,0
7441,9th_grade,6th_grade,0
9545,aaah,aah,0
6218,aah,aaah,0
6217,aan,jaan,0
2782,ability,agility,0
5051,abort,aborted,0
4390,aborted,abort,1
4391,aborted,absorbed,0
1432,abortions,portions,0
7998,about,bout,0
3789,abrupt,abruptly,0
1239,abruptly,abrupt,0
10594,abs,jabs,0
1170,absence,essence,0
4320,absorb,absorbed,0
4514,abusing,using,0
4515,abusing,causing,0
4516,abusing,abusive,0
2420,acabar,acaba,0
8864,accident,incident,0
2971,acclaim,acclaimed,0
8208,acclaimed,acclaim,1
7079,accomplices,accomplice,1
7877,account,accounts,1
2754,accountants,accounts,0
8387,accounts,accountants,0
7862,accuse,accused,0
7454,ache,aches,1
7792,aches,ache,1
1357,achin,aching,1
8059,aching,achin,1
2072,acquire,require,0
6545,acrobatic,acrobatics,1
4455,acrobatics,acrobatic,1
1806,across,cross,0
5265,acs,macs,0
5266,acs,sacs,0
1176,actavis,activis,0
6073,actin,acting,1
7453,actin_funny,acting_funny,0
10655,acting,actin,1
2304,acting_funny,actin_funny,0
3317,action,reaction,0
9387,activis,actavis,0
3088,actor,factor,0
1905,acts,arts,0
7999,actual,factual,0
9924,actually,actual,0
9684,ad_lib,ad_libs,1
10121,ad_libs,ad_lib,1
785,adamant,adamn,0
4984,addiction,an_addiction,0
4985,addiction,addictions,1
4050,addictions,addiction,1
8057,addictive,addiction,0
11773,addin,adding,1
3807,adding,addin,1
4297,addition,edition,0
4298,addition,addictions,0
7989,adi,ladi,0
9898,adjectives,adjective,1
1248,ado,lado,0
7581,adolescence,adolescent,0
11037,adolescent,adolescence,0
7981,ads,fads,0
7518,advance,advances,1
2531,adventure,adventures,1
3726,affected,infected,0
9359,affectin,affecting,1
3212,affecting,affectin,1
10451,african,american,0
4177,afro,fro,0
10855,afros,fros,0
9321,aga,paga,0
3433,agents,agendas,0
10674,ages,cages,0
10675,ages,pages,0
10595,ah_ah,ahh_ahh,0
10596,ah_ah,dah_dah,0
2305,aha,haha,0
2383,ahh,ahhh,0
2384,ahh,hahh,0
7292,ahh_ahh,ahhhh,0
7293,ahh_ahh,ohh_ohh,0
7294,ahh_ahh,ahhhhh,0
7295,ahh_ahh,uhh_uhh,0
7296,ahh_ahh,ah_ah,0
1711,ahhh,ahh,0
1712,ahhh,ahhhh,0
1713,ahhh,uhhh,0
10731,ahhhh,ahh_ahh,0
10732,ahhhh,ahhh,0
10733,ahhhh,yeahhhh,0
10734,ahhhh,ahhhhh,0
6328,ahhhhh,ahhhh,0
6329,ahhhhh,ahh_ahh,0
3995,ahhhhhh,uhhhhh,0
862,ahhhhhhh,ahhhhhhhhhh,0
863,ahhhhhhh,yeahhhhhhh,0
563,aholic,holic,0
2704,aight,alright,0
2705,aight,ight,0
2706,aight,right,0
2707,aight,aiight,0
6632,aim,aims,1
2701,aimed_at,aimin_at,0
3027,aimin,aiming,1
7475,aimin_at,aimed_at,0
10546,aiming,aimin,1
4614,air_force,air_forces,1
7618,airin,airing,1
948,airing,airin,1
9728,airplane,an_airplane,0
2004,aiyo,ayo,0
2005,aiyo,aiyyo,0
5885,aiyyo,aiyo,0
2266,ak47,ak_47,1
9306,alarm,alarms,1
8674,alarmed,harmed,0
8179,alarms,alarm,1
6761,album,albums,1
9951,albums,album,1
6825,alcoholic,an_alcoholic,0
8505,alicia,felicia,0
5807,align,aligned,0
7265,aligned,align,1
6641,alittle,skittle,0
7878,aliz,alize,0
8400,all,yall,0
60,allah,allahs,1
6055,alley,alleys,1
6056,alley,valley,0
6568,alleys,valleys,0
6569,alleys,alley,1
3558,allow,allows,1
9210,ally,dally,0
10008,alone,lone,0
10009,alone,along,0
8951,along,alone,0
8952,along,long,0
4862,alot,lot,0
218,alot_of,lot_of,0
219,alot_of,lots_of,0
5387,alotta,lotta,0
1715,alpines,alpine,1
7642,alright,aight,0
7643,alright,right,0
10773,amazin,amazing,1
1539,amazing,amazin,1
8862,ambitions,ambitionz,0
10483,ambulance,ambulances,1
1046,america,american,0
1047,america,africa,0
1048,america,americas,1
1182,american,african,0
1183,american,americas,0
1184,american,america,0
1185,american,americans,1
10472,americans,africans,0
1813,among,amongst,0
8390,amongst,among,0
11697,amount,amounts,1
11698,amount,account,0
1301,amounts,accounts,0
2467,an_addict,an_addiction,0
9849,an_addiction,addiction,0
126,an_airplane,airplane,0
8440,an_alcoholic,alcoholic,0
9718,an_appetite,appetite,0
10499,an_astronaut,astronaut,0
1524,an_earthquake,earthquake,0
7946,an_envelope,envelope,0
7702,an_understatement,understatement,0
8869,ana,anda,0
8040,anche_se,anche_tu,0
2352,anda,onda,0
2353,anda,ainda,0
2652,ands,ando,0
2651,andy,andys,1
3935,angel,angels,1
9719,angels,angel,1
8666,angle,angles,1
2391,animalistic,cannibalistic,0
1369,ankle,ankles,1
1351,ankles,ankle,1
8870,ann,anne,0
11617,anno,sanno,0
832,another,nother,0
833,another,anotha,0
10263,answer,answers,1
10264,answer,answered,0
4536,answered,answerin,0
4537,answered,answer,1
4538,answered,unanswered,0
9805,answerin,answering,1
9806,answerin,answered,0
10478,answering,answerin,1
4047,answers,answer,1
4048,answers,answered,0
10682,anthems,panthers,0
1814,anticipatin,anticipated,0
5948,anticipating,anticipation,0
10262,antonio,anton,0
7532,anuh,unuh,0
10302,anybody,nobody,0
1974,anythin,anything,1
3473,anything,anythin,1
3474,anything,nothing,0
4954,anywhere,nowhere,0
10292,aom,aomg,1
1544,aomg,aom,1
5313,apart,part,0
2500,apartment,apartments,1
5394,apes,axes,0
6121,apologize,apologise,0
6713,appeal,appeals,1
9409,appealing,appealin,1
6709,appear,appears,1
6710,appear,appeared,0
6711,appear,reappear,0
4445,appeared,appears,0
4446,appeared,disappeared,0
3864,appears,appeared,0
3865,appears,appear,1
2155,appetite,an_appetite,0
2156,appetite,appetites,1
11668,apple,snapple,0
8913,applyin,applying,1
4233,archer,archery,0
9965,archery,archer,0
4231,arches,archery,0
4232,arches,archer,0
9858,area,areas,1
5044,areas,area,1
662,arguin,arguing,1
6871,arisen,risen,0
11571,arm,arms,1
1353,armor,armour,0
8602,armpit,armpits,1
4215,armpits,armpit,1
10243,arms,arm,1
8023,aroun,roun,0
6108,around,round,0
6109,around,ground,0
6081,aroused,doused,0
10856,arrange,arranged,0
9462,arrest,arrested,0
1556,arrested,arrest,1
11397,arrival,rival,0
10438,arrive,arrived,0
10439,arrive,arrives,1
10291,arrived,arrive,0
57,arrow,arrows,1
58,arrow,marrow,0
7500,arrows,arrow,1
6944,arsenal,arsenic,0
11568,art,arts,1
8591,artery,archery,0
3956,article,particle,0
2728,articles,particles,0
2729,articles,article,1
9047,artist,artists,1
10199,artists,artist,1
1566,ascending,descending,0
4110,ash,hash,0
553,ash_tray,ashtray,1
7708,ashes,clashes,0
7709,ashes,flashes,0
9514,ashing,ashin,1
5047,ashtray,ash_tray,1
124,ask,asks,1
7710,askin,asking,1
916,asking,askin,1
917,asking,talking,0
1610,asks,ask,1
6802,asleep,sleep,0
6074,assistant,assistants,1
1884,associate,associates,1
5693,associates,associate,1
7993,assuming,assumin,1
5056,assure,assured,0
2954,assured,assure,0
6040,astray,stray,0
1480,astro,castro,0
6174,astrology,astronomy,0
10576,astronaut,an_astronaut,0
6646,athletic,athlete,0
9304,atom,atoms,1
125,atoms,atom,1
8430,atrocious,ferocious,0
10389,attached,attach,1
4257,attack,attacks,1
6436,attackin,attacking,1
7271,attempt,attempts,1
9201,attitude,attitudes,1
923,attorney,attorneys,1
2179,attract,attracted,0
2180,attract,attracts,1
5409,attracted,attract,1
3152,attraction,distraction,0
10236,auch,euch,0
5165,auction,auctioned,0
62,audemar,audemars,1
7956,audemars,audemar,1
7139,auf_der,auf_den,0
854,aunt,aunts,1
855,aunt,aunty,0
2641,auntie,aunties,1
4440,aunties,aunts,0
4441,aunties,auntie,1
7420,aunts,aunties,0
7421,aunts,aunt,1
7422,aunts,aunty,0
7423,aunty,aunts,0
7424,aunty,aunt,0
4527,authorities,authority,0
4528,authorities,atrocities,0
7991,authority,authorities,0
9378,autograph,an_autograph,0
8867,autotune,auto_tune,1
512,awake,awoke,0
513,awake,wake,0
6534,award,awards,1
311,awards,award,1
6535,aware,unaware,0
6021,awesome,awwsome,0
7689,awkward,awkwardly,0
8096,awoke,awake,0
10128,aww,awww,0
8690,awww,aww,0
3201,axe,axes,1
3330,axis,axes,0
8325,ay_ay,aye_aye,0
8326,ay_ay,ayy_ayy,0
3423,aye_aye,ay_ay,0
10035,ayo,aiyo,0
185,ayo_ayo,yayo_yayo,0
4293,ayy_ayy,ay_ay,0
4294,ayy_ayy,ayyyy,0
4295,ayy_ayy,aye_aye,0
3780,aztecs,aztec,1
3700,ba_ba,da_ba,0
3701,ba_ba,ba_da,0
3702,ba_ba,bah_bah,0
677,ba_da,ba_ba,0
678,ba_da,da_da,0
10326,baa,baba,0
604,baba,baa,0
3497,babe,baby,0
3498,babe,bae,0
3039,babies,rabies,0
608,baby,babe,0
2074,babys,babysit,0
6057,babysit,babys,0
4959,bachelor,bachelors,1
10233,bachelors,bachelor,1
4898,back,sack,0
4899,back,pack,0
4900,back,jack,0
4901,back,mack,0
10761,backflip,backflips,1
7061,backin,backing,1
7062,backin,buckin,0
9268,backing,backin,1
9269,backing,locking,0
9270,backing,dicking,0
9271,backing,kicking,0
6005,backwood,backwoods,1
816,backwoods,backwood,1
743,bad_habit,bad_habits,1
3199,bada,baba,0
3200,bada,badda,0
7639,badda,bada,0
8005,badder,madder,0
8061,badly,sadly,0
3579,bae,babe,0
10325,bag,bags,1
6702,baggin,bagging,1
1200,bagging,baggin,1
1201,bagging,baking,0
8565,baggy,saggy,0
10522,bags,bag,1
10523,bags,tags,0
8310,bahamas,pajamas,0
2233,bail,mail,0
2234,bail,jail,0
2235,bail,bails,1
2185,baila,baile,0
1641,bailing,banking,0
1642,bailing,raiding,0
2187,bails,jails,0
5776,baise,baiser,0
7224,baiser,baise,0
4098,bak,brak,0
5365,baka,bana,0
5363,bake,baked,0
5364,bake,cake,0
5147,baked,bake,0
3442,bakery,baker,0
10313,bakin,baking,1
10314,bakin,wakin,0
4709,bakin_soda,baking_soda,0
7239,baking,bakin,1
7240,baking,raking,0
7241,baking,bagging,0
9058,baking_soda,bakin_soda,0
3821,balanced,unbalanced,0
8051,bald_head,bald_headed,0
8411,balenciaga,balenciagas,1
10939,balenciagas,balenciaga,1
3645,bali,mali,0
3643,ball,fall,0
3644,ball,mall,0
6156,ballas,ballers,0
6157,ballas,ballaz,0
198,baller,taller,0
5263,ballers,ballas,0
5264,ballers,brawlers,0
6592,ballin,balling,1
6593,ballin,callin,0
6298,balling,ballin,1
2871,ballys,bally,1
4234,bam_bam,bah_bah,0
5617,bambino,bambini,0
2070,banana_clip,banana_clips,1
7409,banana_clips,banana_clip,1
3653,bananas,bandanas,0
6555,band,bands,1
6556,band,hand,0
1339,bandana,bandanna,0
1340,bandana,bandanas,1
4887,bandanas,bandannas,0
4888,bandanas,bandanna,0
5815,bandanna,bandannas,1
5816,bandanna,bandana,0
5817,bandanna,bandanas,0
6642,bandannas,bandanna,1
6643,bandannas,bandanas,0
5307,bands,band,1
5308,bands,bandz,0
5306,bandz,bands,0
6557,bang,gang,0
6558,bang,hang,0
6559,bang,rang,0
6560,bang,dang,0
7534,bang_bang,gang_bang,0
7535,bang_bang,gang_gang,0
7536,bang_bang,dang_dang,0
7272,banged,bangers,0
7273,banged,slanged,0
6256,bangers,slangers,0
1773,bangin,swangin,0
1774,bangin,banging,1
1775,bangin,hangin,0
2818,banging,bangin,1
2819,banging,swanging,0
2820,banging,slanging,0
2821,banging,hanging,0
6561,bank,banks,1
2245,bank_account,bank_accounts,1
8147,bank_accounts,bank_account,1
9307,bank_roll,bankroll,1
9308,bank_roll,bankrolls,0
5677,bank_rolls,bankrolls,1
4389,bankroll,bank_roll,1
7749,bankrolls,bank_rolls,1
8935,banners,scanners,0
10327,bao,bato,0
10324,bap,blap,0
2911,bap_bap,bop_bop,0
7225,barbershop,barber_shop,1
9003,barella,budella,0
9248,barely,rarely,0
11570,bark,mark,0
4782,barker,marker,0
10021,barkin,barking,1
10022,barkin,sparkin,0
11017,barking,barkin,1
11018,barking,sparking,0
11019,barking,lurking,0
6303,barkley,bailey,0
11572,barn,bart,0
485,barrel,barrels,1
10937,barricades,barricaded,0
826,barrier,barriers,1
10941,barriers,barrier,1
4684,barry,harry,0
1161,base,bass,0
11286,baseball,basketball,0
8035,based_god,basedgod,1
6255,basedgod,based_god,1
9981,basement,pavement,0
2742,bashed,slashed,0
8433,bashin,bashing,1
5898,basketball,baseball,0
1379,bastard,bastards,1
10323,bat,bats,1
2306,bats,gats,0
2307,bats,hats,0
943,battle,battles,1
6527,battlin,battling,1
10004,battling,battlin,1
6547,beach,beaches,0
2469,beaches,beach,0
6749,beam,beams,1
6750,beam,bean,0
5986,beamer,beemer,0
354,beamers,beemer,0
11820,beamin,gleamin,0
11821,beamin,steamin,0
3290,beaming,gleaming,0
3291,beaming,blaring,0
3292,beaming,weaving,0
10977,bean,beans,1
4910,beans,bean,1
10971,bear,bears,1
10972,bear,pear,0
10936,bear_witness,bare_witness,0
10118,bears,pears,0
5813,beast,feast,0
10968,beat,beats,1
10969,beat,heat,0
2453,beatch,beeatch,0
2454,beatch,beyotch,0
11739,beatin,beating,1
11740,beatin,sweatin,0
11741,beatin,blastin,0
11742,beatin,breakin,0
6659,beating,beatin,1
6660,beating,busting,0
6661,beating,tearing,0
6662,beating,weaving,0
1499,beats,beat,1
8819,beauty,beautys,1
1083,beaver,cleaver,0
11579,became,become,0
11580,became,becomes,0
11800,because,cause,0
726,become,became,0
727,become,becomes,1
10081,becomes,become,1
3660,becomin,becoming,1
6677,becoming,becomin,1
5393,bed_stuy,bedstuy,1
5973,bedrock,brock,0
5429,bedstuy,bed_stuy,1
7653,beeatch,beyotch,0
7654,beeatch,beatch,0
7655,beeatch,beeotch,0
5613,beefin,beefing,1
9572,beefing,beefin,1
5283,been,seen,0
6480,beeotch,beeatch,0
5284,beep,beeps,1
3684,beeper,beepers,1
9668,beepers,beeps,0
5285,beer,beers,1
11298,beers,beer,1
11731,beezy,weezy,0
10173,began,begin,0
6842,beggin,begging,1
5442,begging,beggin,1
9776,begin,begins,1
9777,begin,began,0
9623,beginnin,beginning,1
1923,beginning,beginnin,1
1574,begins,begin,1
11592,behavior,behaviour,0
10460,bein,being,1
9093,bein_broke,being_broke,0
347,being,bein,1
8797,being_bool,bein_bool,0
6097,being_broke,bein_broke,0
9682,being_honest,bein_honest,0
10092,bel_air,belaire,0
3280,belaire,bel_air,0
4742,belated,elated,0
7733,believe,believin,0
7734,believe,believed,0
3121,believes,believin,0
8354,believin,believing,1
8355,believin,believes,0
8356,believin,believe,0
2409,believing,believin,1
507,bell,bells,1
9568,bells,bell,1
7376,belly,jelly,0
7377,belly,telly,0
1547,belong,belongs,1
6651,belongs,belonged,0
508,belt,belts,1
4259,ben,beni,0
935,ben_franklin,ben_frank,0
173,benches,fences,0
174,benches,trenches,0
3545,bend,bends,1
5818,bending,handing,0
2620,bending_corners,bendin_corners,0
3546,beni,benim,0
3547,beni,yeni,0
3548,beni,seni,0
2400,benim,beni,0
6752,benny,lenny,0
3543,bens,hens,0
11719,bentley,bentleys,1
4797,bentleys,bentley,1
10151,benzes,benzs,0
346,benzo,enzo,0
1954,benzs,benzes,0
5245,beretta,berettas,1
8427,berkeley,berkley,0
5637,berkley,berkeley,0
5628,berserk,beserk,0
8314,berzerk,bezerk,0
8315,berzerk,beserk,0
11363,beserk,berzerk,0
11364,beserk,bezerk,0
11365,beserk,berserk,0
3002,best,rest,0
3003,best,test,0
9567,best_rapper,rawest_rapper,0
10368,bets,sets,0
6388,betta,besta,0
6808,between,tween,0
10442,beverley,beverly,0
9937,beyonc,beyonce,0
8445,beyonce,beyonc,0
4823,beyotch,beeatch,0
2645,bezel,bezels,1
7905,bezels,bezel,1
4111,bezerk,berzerk,0
8269,biancas,biancs,0
7661,bible,bibles,1
7266,bicken_back,bickin_back,0
8031,bicycle,icicle,0
10763,bid,bids,1
10091,biddin,bidding,1
5951,bidness,buisness,0
5344,bids,bid,1
5345,bids,kids,0
9632,bien,rien,0
3586,big_ol,big_ole,0
2056,big_ole,big_ol,0
2749,bigga,figga,0
9437,bigger_than,larger_than,0
9438,bigger_than,longer_than,0
4488,biggity,biggy,0
2751,biggy,biggity,0
6514,bike,bikes,1
3608,bikes,bike,1
7001,bikini,bikinis,1
8003,bikinis,bikini,1
2333,bile,ile,0
4870,bill,bills,1
4871,bill,mill,0
169,billboard,billboards,1
4529,billion,trillion,0
4530,billion,million,0
4531,billion,zillion,0
4532,billion,millions,0
4533,billion,billions,1
4534,billion,billi,0
7005,billion_dollar,million_dollar,0
10177,billion_dollars,million_dollars,0
4540,billionaire,millionaire,0
4541,billionaire,trillionaire,0
5106,billions,millions,0
5107,billions,trillions,0
8641,bills,mills,0
8642,bills,bill,1
8639,billy,willy,0
1569,bionic,bubonic,0
770,bipolar,bi_polar,1
3526,bird,birds,1
3527,bird,birdy,0
3895,birds,bird,1
11367,birken,birkin,0
3059,birth,birthed,0
4965,birthed,birth,1
10765,bit,bits,1
1361,bitch,bitches,0
1362,bitch,bitchll,0
5842,bitched,ditched,0
5838,bitches,snitches,0
5839,bitches,bitch,0
2405,bitchesll,bitchll,0
196,bitchin,bitching,1
197,bitchin,snitchin,0
3939,bitching,bitchin,1
3940,bitching,snitching,0
10572,bitchll,bitchs,0
10573,bitchll,bitchesll,0
5936,biters,writers,0
3967,bitin,biting,1
2735,biting,bitin,1
2736,biting,beating,0
6048,bits,wits,0
11624,bitties,titties,0
11625,bitties,booties,0
11626,bitties,kitties,0
10764,biz,bizz,0
9822,bizz,biz,0
7510,bizzle,dizzle,0
7511,bizzle,wizzle,0
7512,bizzle,rizzle,0
1671,blaat,claat,0
4654,black,blacks,1
756,black_male,black_males,1
11021,black_males,crack_sales,0
4798,blacked,glocked,0
6633,blacked_out,blacking_out,0
601,blacker_than,darker_than,0
8176,bladed,braided,0
9094,blah,bla,0
9095,blam,blap,0
9096,blam,slam,0
9097,blam,blat,0
6809,blame,blamed,0
3801,blamed,claimed,0
9627,blamin,claimin,0
1479,blaming,gaming,0
3863,blammers,bimmers,0
5596,blang,bling,0
3695,blanket,basket,0
9904,blaow,baow,0
9086,blap,blat,0
9087,blap,bap,0
9088,blap,blam,0
9089,blap,brap,0
5590,blaring,roaring,0
6525,blasphemy,blasphemous,0
3854,blast,blastin,0
5276,blasted,blastin,0
5277,blasted,bashed,0
4264,blastin,bustin,0
4265,blastin,blasting,1
3126,blasting,blastin,1
3127,blasting,busting,0
3128,blasting,bursting,0
7677,blat,blap,0
7678,blat,blam,0
2037,blatant,blatantly,0
7679,blaw,bloaw,0
10854,blaze,blazed,0
7909,blazers,lasers,0
6135,blazin,blazing,1
7898,blazing,flaming,0
7899,blazing,blazin,1
7900,blazing,gazing,0
3001,bled,fled,0
5012,bleed,bled,0
9473,bleedin,bleeding,1
9474,bleedin,sleepin,0
10862,bleeding,bleedin,1
10863,bleeding,feeding,0
4133,blend,blends,1
5727,blendin,blends,0
1794,blends,blendin,0
7623,blessed,blessin,0
7624,blessed,obsessed,0
7625,blessed,bless,1
9619,blessin,blessing,1
9620,blessin,blessed,0
9621,blessin,guessin,0
8344,blessing,blessin,1
2997,blew,flew,0
1024,blind,blinded,0
1025,blind,blink,0
2952,blinded,blind,1
8613,blindin,blinding,1
8614,blindin,blingin,0
8615,blindin,blinging,0
6058,blinding,blindin,1
6059,blinding,blinking,0
6060,blinding,blinging,0
1026,bling,blang,0
1027,bling,blingin,0
4958,blinged,slanged,0
11130,blingin,blindin,0
11131,blingin,bling,0
11132,blingin,blinging,1
1033,blink,blind,0
5255,blinking,winking,0
5256,blinking,blinding,0
5257,blinking,sinking,0
6512,blisters,blistered,0
